"","score","text"
"Reviews18",2,"The ambiance and food quality is real good. But you won't get dinner type food. It's kind of fast food restaurant - pizzas, burgers wraps etc."
"Reviews19",0,"Really great place to have some sumptuous burgers and lovely Pizzas, in an area like Kharagpur. Not so expensive as well. …MoreReally great place to have some sumptuous burgers and lovely Pizzas, in an area like Kharagpur. Not so expensive as well.The ambience is pretty decent."
"Reviews20",2,"Very well maintained & good services"
"Reviews21",2,"Good cafe. Best for evening time coffie or dessert with your partner."
"Reviews22",1,"One of the best beger point in KGP."
"Reviews23",3,"Nice and cozy environment. Good fried food. More options on coffee, tea, and sandwiches are welcome."
"Reviews24",2,"Good food ,straight service, quite but playful for youngsters ,first restaurant to have books stand in it ,really a unique idea in Kharagpur"
"Reviews25",4,"One of the best hangouts for food lovers especially youth. The quality of pizzas and burgers is better than that of Dominos for sure. Interior is amazing with excellent service.A must visit place."
"Reviews26",3,"i think its far far better than domino and value worth pizzas.....good environment.starting from 155 is always nice"
"Reviews27",3,"Garden seems good enough, there scope for improvement."
"Reviews28",3,"Great place to have some fast food with friends. Great decor."
"Reviews29",0,"Awesome fast food...🍔🍗🌭🌮🍵☕🍝🍜"
"Reviews30",1,"Good for eating"
"Reviews31",0,"Awsome place..fabulous food nd behaviour of the staffs r very friendly nd most important items r pocket friendly 😃"
"Reviews32",0,"Below average and too pricy for no reason"
"Reviews33",3,"Good food good ambience ..overall good experience"
"Reviews34",1,"Dis s d best place in kgp for hangouts n for dates.."
"Reviews35",2,"Good food at good rate"
"Reviews36",-2,"Rude behaviour with customers. Lack of management skills."
"Reviews37",2,"I don't like this place , bcoz the food quality is not good as expected"
"Reviews38",1,"Good place to sit n eat in Kgp"
"Reviews39",0,"Tasty food its yummmmmmm"
"Reviews40",2,"you get only burgers pizza pasta and wrapspizza is ok not so great less filling and more of cheese. pasta was good and wrap was to saucy"
"Reviews41",0,"Good place to hang around"
"Reviews42",1,"Awesome place to hangout with friends nd even though with family members"
"Reviews43",2,"Fast delivery n fresh food"
"Reviews44",1,"A hangout place with innovative decoration and yummy food.."
"Reviews45",2,"Nice ambience lovely food"
"Reviews46",1,"The place looks good but the ambience ruins it totally .blaring bolly songs from the telly makes it almost impossible to have conversations .also the food quality for the price is not justified . would've been great if the price was a bit more reasonable ."
"Reviews47",1,"nice place to go with couple..."
"Reviews48",0,"Awesome hang out place for young crowd"
"Reviews49",1,"Awesome burgers and wraps.Crispy chicken is also delicious.If you need something more then ask garlic bread and deep blue mojito"
"Reviews50",1,"Good interior, but the customer service is not upto the mark"
"Reviews51",4,"Awesome place... delicious and fresh food... awestruck ambience..."
"Reviews52",7,"This place is damn good. The ambience is perfect and loved the creative interiors. Best part is hanging cups and ready to go library. The food is awesome too. So far the best place to hangout in Kharagpur."
"Reviews53",-1,"Worst food with high rates"
"Reviews54",1,"Amazing place for non-vegetarian people."
"Reviews55",2,"Excellent place for people who love fast-food type stuff"
"Reviews56",-1,"Tasty. But very slow service"
"Reviews57",1,"Nice alternative for KFC."
"Reviews58",2,"Superb ambience ....Food quality is better than any joint in kgp...."
"Reviews59",2,"Great place to have tasty snacks and fresh beverages...."
"Reviews60",3,"Excellent food and great ambience...never expected something that great in Kharagpur..... Scrummys keep it up"
"Reviews61",1,"Tasty food and good ambiance in inside"
"Reviews62",2,"Delicious Bargers are available.."
"Reviews63",0,"High Price..Poor Service & it takes too much time to serve food !!"
"Reviews64",1,"Superb food quality"
"Reviews65",1,"Decent hang out place with good tasting food and beverages..."
"Reviews66",2,"Foods is good, mocktails are not so good"
"Reviews67",2,"They have created an awesome ambience and the food is good too!"
"Reviews68",3,"Amazing place. Good food and decent ambience ."
"Reviews69",-2,"Very costly with horrible service. The only plus is the taste."
"Reviews70",0,"A bit expensive but totally worth it."
"Reviews71",1,"The food is good"
"Reviews72",1,"Great garlic bread"
"Reviews73",1,"Awesome experience"
"Reviews74",1,"Very nice"
"Reviews75",0,"Rate need to be dropped.."
"Reviews76",1,"Nice place for fastfood"
"Reviews77",2,"Very good place with good food and entertainment"
"Reviews78",1,"Best cafe"
"Reviews79",1,"please go for excellent burger"
"Reviews80",1,"Bette fast food restaurant in Inda"
"Reviews81",3,"Good Food. Awesome taste at affordable prices. Suggestion: Do not try Veg here."
"Reviews82",2,"Lovely surrounding. Food quality is good."
"Reviews83",2,"Cosy little place with perrenial favourites as well as innovative dishes!"
"Reviews84",4,"Awesome place Pizza's better than Domino's and has a good variety of books to read"
"Reviews85",-1,"Very rude behavior"
"Reviews86",2,"Good ambience!! Good food"
"Reviews87",0,"Okay by Kharagpur standards"
"Reviews88",1,"The burgers are good"
"Reviews89",0,"Awsum place for couples"
"Reviews90",4,"Great food at affordable prices,and espacially i love the pizzas heare. wow thin and crispy pizzas."
"Reviews91",1,"Best"
"Reviews92",0,"My next home 😁"
"Reviews93",0,"Not at all friendly environment. Even the eco sucks."
"Reviews94",1,"nice place to eat and hangout."
"Reviews95",-1,"Food is soo testy"
"Reviews96",1,"Good"
"Reviews97",1,"Nice eatables"
"Reviews98",1,"Best pizzas"
"Reviews99",1,"Nice"
"Reviews100",1,"Excellent"
"Reviews101",1,"good"
"Reviews102",1,"Good pizzas and burgers"
"Reviews103",0,"Best out of worst!!!"
"Reviews104",2,"GOOD ambiance great services."
"Reviews105",1,"Nice place"
"Reviews106",1,"Good"
"Reviews107",1,"lovely food"
"Reviews108",1,"Nice place for hangout..."
"Reviews109",0,"."
"Reviews110",1,"Good food"
"Reviews111",1,"Loved it"
"Reviews112",1,"Nice cafeteria"
"Reviews113",1,"very nice"
"Reviews114",0,"Kharagpur (L)"
"Reviews115",-1,"Costly"
"Reviews116",-1,"Too expensive"
"Reviews117",1,"Nice experience"
"Reviews118",1,"Good"
"Reviews119",0,"Avg"
"Reviews120",0,"(Translated by Google) Good food. The most beautiful pictures on the wall. …More(Translated by Google) Good food. The most beautiful pictures on the wall.(Original)ভালো খাবার। সবচেয়ে সুন্দর দেওয়ালের ছবিগুলি।"
"Reviews121",0,"(Translated by Google) oK oK(Original)Ok ok"
"Reviews122",0,"(Translated by Google) Is carefree(Original)मस्त है"
"1",151,"TOTAL"
